,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
675,1941,2.0,Estratovolcán,True,True,Semeru (Indonesia)
676,1944,2.0,Estratovolcán,True,True,Usu (Japan)
677,1947,4.0,Estratovolcán,True,True,Hekla (Iceland)
678,1976,,Estratovolcán,True,True,Kusatsu-Shirane (Japan)
679,1979,2.0,Estratovolcán,True,True,Etna (Italy)
680,1982,4.0,Estratovolcán,True,True,Galunggung (Indonesia)
681,1988,3.0,Estratovolcán,True,True,Arenal (Costa Rica)
682,2005,,Volcán En Escudo,True,True,Karthala (Comoros)
683,2010,,Estratovolcán,True,True,Tengger Caldera (Indonesia)
684,200,,Campo Volcánico,True,True,"Arhab, Harra of (Yemen)"
685,640,2.0,Campo Volcánico,True,True,"Uwayrid, Harrat (Saudi Arabia)"
686,1169,,Estratovolcán,False,True,Etna (Italy)
687,1600,6.0,Estratovolcán,True,False,Huaynaputina (Peru)
688,1629,2.0,Caldera,True,True,Grimsvotn (Iceland)
689,1717,3.0,Estratovolcán,True,True,Bardarbunga (Iceland)
690,1778,4.0,Estratovolcán,True,True,Raikoke (Russia)
691,1789,2.0,Estratovolcán,True,True,Oshima (Japan)
692,1805,2.0,Volcán Complejo,True,True,Vesuvius (Italy)
693,1829,2.0,Volcán Complejo,True,True,Guntur (Indonesia)
694,1837,,Volcán Complejo,False,False,Peuet Sague (Indonesia)
695,1853,2.0,Volcán Submarino,False,True,Unnamed (Taiwan)
696,1854,2.0,Caldera,True,True,Aso (Japan)
697,1860,2.0,Estratovolcán,True,True,Semeru (Indonesia)
698,1871,2.0,Estratovolcán,False,False,Camiguin (Philippines)
699,1875,5.0,Estratovolcán,True,True,Askja (Iceland)
700,1886,4.0,Estratovolcán,True,True,Tungurahua (Ecuador)
701,1886,2.0,Arandela De Cúpula,True,True,Okataina (New Zealand)
702,1893,4.0,Estratovolcán,True,True,Calbuco (Chile)
703,1951,3.0,Estratovolcán,True,True,Camiguin (Philippines)
704,1953,2.0,Volcán Submarino,False,True,Myojun Knoll (Japan)
705,1957,,Volcán Complejo,True,True,Unzen (Japan)
706,1981,3.0,Estratovolcán,True,True,Semeru (Indonesia)
707,1993,,Estratovolcán,True,True,Wurlali (Indonesia)
708,1993,1.0,Estratovolcán,True,True,Pinatubo (Philippines)
709,1996,2.0,Estratovolcán,True,True,Kanlaon (Philippines)
710,2013,,Estratovolcán,True,True,Mayon (Philippines)
711,2017,,Estratovolcán,True,True,Etna (Italy)
712,2017,,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
713,-141,,Estratovolcán,True,True,Etna (Italy)
714,1262,3.0,Volcán Subglacial,True,True,Katla (Iceland)
715,1300,4.0,Estratovolcán,True,True,Hekla (Iceland)
716,1331,2.0,Caldera,True,True,Aso (Japan)
717,1714,,Volcán Complejo,False,True,Vesuvius (Italy)
718,1907,,Volcán En Escudo,False,True,Savai'i (Samoa)
719,1911,2.0,Volcán Complejo,True,True,Asama (Japan)
720,1913,4.0,Estratovolcán,True,True,Colima (Mexico)
721,1944,3.0,Estratovolcán,True,True,Cleveland (United States)
722,1952,2.0,Volcán Submarino,False,True,Myojun Knoll (Japan)
723,1960,3.0,Estratovolcán,False,False,Puyehue (Chile)
724,1971,2.0,Estratovolcán,True,True,La Palma (Spain)
725,1972,1.0,Estratovolcán,False,True,Ritter Island (Papua New Guinea)
726,1979,3.0,Estratovolcán,True,True,Soufriere St. Vincent (St. Vincent & the Grenadines)
727,1983,3.0,Estratovolcán,True,False,Miyake-jima (Japan)
728,1984,3.0,Estratovolcán,True,True,Etna (Italy)
729,1990,2.0,Caldera,True,True,Aso (Japan)
730,1991,2.0,Estratovolcán,True,True,Etna (Italy)
731,1994,3.0,Estratovolcán,True,True,Semeru (Indonesia)
732,2007,,Estratovolcán,True,True,Salak (Indonesia)
733,2017,2.0,Estratovolcán,True,True,Fuego (Guatemala)
734,2017,,Volcán En Escudo,True,True,Aoba (Vanuatu)
735,2018,3.0,Volcán En Escudo,True,True,Aoba (Vanuatu)
736,2019,2.0,Estratovolcán,False,True,Stromboli (Italy)
737,-1550,,Estratovolcán,True,True,Redoubt (United States)
738,-250,6.0,Estratovolcán,True,True,Raoul Island (New Zealand)
739,1640,5.0,Estratovolcán,False,False,Komaga-take (Japan)
740,1785,3.0,Estratovolcán,True,True,Aoga-shima (Japan)
741,1812,3.0,Estratovolcán,True,True,Awu (Indonesia)
742,1853,0.0,Volcán En Escudo,True,True,Niuafo'ou (Tonga)
743,1892,2.0,Estratovolcán,True,True,Sorikmarapi (Indonesia)
744,1917,3.0,Estratovolcán,True,True,Calbuco (Chile)
745,1938,1.0,Volcán Complejo,True,True,Asama (Japan)
746,1941,2.0,Volcán Complejo,True,True,Asama (Japan)
747,1943,4.0,Cono De Ceniza,True,True,Michoacan-Guanajuato (Mexico)
748,1944,2.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
749,1953,1.0,Estratovolcán,True,True,Oshima (Japan)
750,1973,,Estratovolcán,True,True,"Hudson, Cerro (Chile)"
751,1990,2.0,Caldera,True,True,Aso (Japan)
752,1991,6.0,Estratovolcán,True,False,Pinatubo (Philippines)
753,1992,1.0,Estratovolcán,True,True,Pinatubo (Philippines)
754,1995,2.0,Estratovolcán,True,True,Fogo (Cape Verde)
755,1996,3.0,Estratovolcán,True,True,Manam (Papua New Guinea)
756,2000,,Volcán En Escudo,True,True,Kilauea (United States)
757,2005,3.0,Estratovolcán,True,True,Santa Ana (El Salvador)
758,2006,2.0,Estratovolcán,False,True,Soufriere Hills (Montserrat)
759,2015,,Estratovolcán,True,True,Calbuco (Chile)
760,2017,,Caldera,True,True,Campi Flegrei (Italy)
761,2018,,Estratovolcán,True,True,Kadovar (Papua New Guinea)
762,2018,,Estratovolcán,True,True,Ijen (Indonesia)
763,-4350,7.0,Caldera,True,True,Kikai (Japan)
764,934,4.0,Volcán Subglacial,True,True,Katla (Iceland)
765,1250,,Estratovolcán,True,True,Fentale (Ethiopia)
766,1389,3.0,Estratovolcán,True,True,Hekla (Iceland)
767,1471,5.0,Estratovolcán,True,True,Sakura-jima (Japan)
768,1500,4.0,Volcán Subglacial,True,True,Katla (Iceland)
769,1590,3.0,Estratovolcán,True,True,Colima (Mexico)
770,1596,2.0,Volcán Complejo,True,True,Asama (Japan)
771,1606,2.0,Estratovolcán,False,True,Hachijo-jima (Japan)
772,1712,2.0,Estratovolcán,True,True,Bardarbunga (Iceland)
773,1716,2.0,Estratovolcán,True,True,Bardarbunga (Iceland)
774,1737,2.0,Volcán Complejo,True,True,Vesuvius (Italy)
775,1779,4.0,Estratovolcán,True,True,Sakura-jima (Japan)
776,1783,4.0,Volcán Complejo,True,True,Asama (Japan)
777,1822,3.0,Estratovolcán,True,True,Merapi (Indonesia)
778,1840,3.0,Estratovolcán,True,True,Tinakula (Solomon Is.)
779,1845,2.0,Estratovolcán,False,False,Soputan (Indonesia)
780,1847,2.0,Estratovolcán,True,True,Fogo (Cape Verde)
781,1856,3.0,Estratovolcán,False,False,Awu (Indonesia)
782,1861,4.0,Estratovolcán,True,True,Makian (Indonesia)
783,1903,1.0,Arandela De Cúpula,True,True,Okataina (New Zealand)
784,1951,,Volcán Complejo,True,True,Hakone (Japan)
785,1954,2.0,Estratovolcán,True,True,Bam (Papua New Guinea)
786,1958,,Estratovolcán,True,True,Daisetsu (Japan)
787,1962,2.0,Estratovolcán,True,True,Gamalama (Indonesia)
788,1969,2.0,Estratovolcán,True,True,Merapi (Indonesia)
789,1973,3.0,Estratovolcán,True,True,Paluweh (Indonesia)
790,1974,3.0,Estratovolcán,True,True,Sakura-jima (Japan)
791,1978,,Estratovolcán,True,True,Tangkubanparahu (Indonesia)
792,1983,4.0,Estratovolcán,True,True,Colo [Una Una] (Indonesia)
793,1987,2.0,Estratovolcán,True,True,Etna (Italy)
794,1994,3.0,Estratovolcán,True,True,Rinjani (Indonesia)
795,1996,3.0,Caldera,True,True,Grimsvotn (Iceland)
796,1997,3.0,Estratovolcán,True,True,Soufriere Hills (Montserrat)
797,1999,3.0,Estratovolcán,True,True,Guagua Pichincha (Ecuador)
798,2001,2.0,Estratovolcán,True,True,Merapi (Indonesia)
799,2002,1.0,Estratovolcán,True,True,"Nyiragongo (Congo, DRC)"
800,2011,,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
801,2012,,Volcán En Escudo,True,True,Kilauea (United States)
802,2012,,Volcán En Escudo,True,True,Kilauea (United States)
803,1631,,Volcán En Escudo,True,False,Dama Ali (Ethiopia)
804,1659,4.0,Estratovolcán,False,True,Teon (Pacific Ocean)
805,1664,,Volcán Complejo,False,True,Iwo-Tori-shima (Japan)
806,1707,,Volcán En Escudo,False,True,Santorini (Greece)
807,1729,2.0,Caldera,True,True,Krafla (Iceland)
808,1780,4.0,Estratovolcán,True,True,Sakura-jima (Japan)
809,1835,,Caldera,True,False,Banda Api (Pacific Ocean)
810,1843,,Estratovolcán,False,True,Soufriere Guadeloupe (Guadeloupe)
811,1854,5.0,Estratovolcán,True,True,Shiveluch (Russia)
812,1856,,Estratovolcán,False,True,Shishaldin (United States)
813,1860,2.0,Estratovolcán,True,True,Fuego (Guatemala)
814,1868,,Estratovolcán,False,False,Etna (Italy)
815,1872,4.0,Estratovolcán,True,True,Merapi (Indonesia)
816,1875,0.0,Estratovolcán,True,True,Kelut (Indonesia)
817,1878,,Estratovolcán,False,False,Yasur (Vanuatu)
818,1909,2.0,Estratovolcán,True,False,"Cameroon, Mt. (Cameroon)"
819,1914,3.0,Caldera,True,True,Pago (Papua New Guinea)
820,1917,1.0,Arandela De Cúpula,True,True,Okataina (New Zealand)
821,1930,2.0,Caldera,False,True,Krakatau (Indonesia)
822,1930,3.0,Estratovolcán,False,True,Stromboli (Italy)
823,1934,,Estratovolcán,True,True,Hood (United States)
824,1946,4.0,Estratovolcán,False,True,Sarychev Peak (Russia)
825,1954,,Estratovolcán,False,True,Stromboli (Italy)
826,1955,3.0,Estratovolcán,True,True,Sakura-jima (Japan)
827,1962,,Estratovolcán,True,True,Merapi (Indonesia)
828,1990,4.0,Estratovolcán,True,True,Kelut (Indonesia)
829,1993,1.0,Volcán Complejo,True,True,Unzen (Japan)
830,2010,3.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
831,2014,,Volcán En Escudo,True,True,Kilauea (United States)
832,2016,,Estratovolcán,True,True,Sinabung (Indonesia)
833,2019,4.0,Estratovolcán,True,True,Manam (Papua New Guinea)
834,2019,,Estratovolcán,True,True,Sinabung (Indonesia)
