,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
362,1650,4.0,Volcán En Escudo,False,True,Santorini (Greece)
363,1660,4.0,Volcán Subglacial,True,True,Katla (Iceland)
364,1672,3.0,Estratovolcán,True,True,Merapi (Indonesia)
365,1679,,Volcán En Escudo,True,False,Zukur (Yemen)
366,1717,3.0,Volcán En Escudo,True,True,Kirishima (Japan)
367,1741,4.0,Estratovolcán,False,True,Oshima-Oshima (Japan)
368,1753,2.0,Caldera,True,True,Grimsvotn (Iceland)
369,1780,4.0,Estratovolcán,False,True,Sakura-jima (Japan)
370,1817,4.0,Estratovolcán,True,True,Raung (Indonesia)
371,1833,2.0,Estratovolcán,True,True,Kaba (Indonesia)
372,1841,2.0,Estratovolcán,True,True,Kuchinoerabu-jima (Japan)
373,1843,0.0,Estratovolcán,False,True,Liamuiga (St. Kitts & Nevis)
374,1871,2.0,Estratovolcán,False,True,Ruang (Indonesia)
375,1899,2.0,Estratovolcán,True,True,Manam (Papua New Guinea)
376,1900,2.0,Volcán En Escudo,True,True,Kirishima (Japan)
377,1928,3.0,Estratovolcán,True,True,Mayon (Philippines)
378,1937,4.0,Escudo Piroclástico,False,False,Rabaul (Papua New Guinea)
379,1946,2.0,Estratovolcán,True,True,Sakura-jima (Japan)
380,1953,0.0,Volcán Complejo,False,True,St. Andrew Strait (Papua New Guinea)
381,1976,3.0,Estratovolcán,True,True,Sangay (Ecuador)
382,1977,3.0,Estratovolcán,True,True,Kliuchevskoi (Russia)
383,1981,,Estratovolcán,True,True,Mayon (Philippines)
384,1992,1.0,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
385,1994,3.0,Escudo Piroclástico,False,True,Rabaul (Papua New Guinea)
386,1997,2.0,Estratovolcán,True,True,Merapi (Indonesia)
387,2005,4.0,Estratovolcán,True,True,Manam (Papua New Guinea)
388,2006,,Estratovolcán,True,True,Raoul Island (New Zealand)
389,2014,,Estratovolcán,True,True,Fogo (Cape Verde)
390,2015,2.0,Estratovolcán,True,True,Manam (Papua New Guinea)
391,1334,3.0,Estratovolcán,True,True,Kelut (Indonesia)
392,1564,3.0,Estratovolcán,True,True,Gamkonora (Indonesia)
393,1711,3.0,Estratovolcán,True,True,Awu (Indonesia)
394,1873,,Volcán Complejo,True,True,Vesuvius (Italy)
395,1877,4.0,Estratovolcán,True,True,Cotopaxi (Ecuador)
396,1892,3.0,Estratovolcán,False,True,Awu (Indonesia)
397,1895,2.0,Estratovolcán,True,True,Semeru (Indonesia)
398,1895,2.0,Estratovolcán,True,True,Karkar (Papua New Guinea)
399,1902,,Estratovolcán,False,True,Pelee (Martinique)
400,1904,2.0,Volcán En Escudo,True,True,Karthala (Comoros)
401,1906,3.0,Volcán Complejo,False,True,Vesuvius (Italy)
402,1928,1.0,Estratovolcán,True,True,Etna (Italy)
403,1929,3.0,Estratovolcán,True,True,Calbuco (Chile)
404,1930,3.0,Estratovolcán,True,True,Merapi (Indonesia)
405,1933,3.0,Estratovolcán,False,True,Kharimkotan (Russia)
406,1933,4.0,Estratovolcán,True,True,Kuchinoerabu-jima (Japan)
407,1950,1.0,Estratovolcán,True,True,Semeru (Indonesia)
408,1972,2.0,Volcán En Escudo,True,True,"Fournaise, Piton de la (Reunion)"
409,1978,3.0,Estratovolcán,True,True,Usu (Japan)
410,1979,,Volcán Complejo,False,True,Iliwerung (Indonesia)
411,1996,,Estratovolcán,True,True,Maderas (Nicaragua)
412,2002,4.0,Estratovolcán,True,True,Reventador (Ecuador)
413,2011,4.0,Estratovolcán,True,True,Tungurahua (Ecuador)
414,2016,,Caldera,True,True,Aso (Japan)
415,-1010,5.0,Estratovolcán,True,True,Tungurahua (Ecuador)
416,350,,Arandela De Cúpula,True,True,Augustine (United States)
417,1311,4.0,Volcán Subglacial,True,True,Katla (Iceland)
418,1587,4.0,Estratovolcán,True,True,Merapi (Indonesia)
419,1716,2.0,Estratovolcán,True,True,Kelut (Indonesia)
420,1729,1.0,Estratovolcán,True,True,Bardarbunga (Iceland)
421,1742,3.0,Estratovolcán,True,True,Cotopaxi (Ecuador)
422,1772,3.0,Estratovolcán,False,True,Gamalama (Indonesia)
423,1775,3.0,Estratovolcán,True,True,Lokon-Empung (Indonesia)
424,1840,3.0,Estratovolcán,True,True,Ararat (Turkey)
425,1871,3.0,Estratovolcán,True,True,Mayon (Philippines)
426,1874,2.0,Estratovolcán,True,True,Taal (Philippines)
427,1883,6.0,Caldera,False,True,Krakatau (Indonesia)
428,1885,2.0,Estratovolcán,True,True,Semeru (Indonesia)
429,1919,0.0,Volcán En Escudo,False,True,Mauna Loa (United States)
430,1939,1.0,Volcán Complejo,True,True,Dieng Volc Complex (Indonesia)
431,1952,2.0,Volcán Submarino,False,True,Myojun Knoll (Japan)
432,1952,1.0,Volcán Compuesto,True,True,Ambalatungan Group (Philippines)
433,1961,3.0,Estratovolcán,True,True,Calbuco (Chile)
434,1978,3.0,Estratovolcán,True,True,Semeru (Indonesia)
435,1984,,Pero,True,True,Oku Volc Field (Cameroon)
436,1986,2.0,Estratovolcán,True,True,Stromboli (Italy)
437,1987,,Volcán Complejo,True,False,Sirung (Indonesia)
438,1993,,Volcán En Escudo,True,True,Kilauea (United States)
439,1996,3.0,Estratovolcán,True,True,Popocatepetl (Mexico)
440,2006,3.0,Estratovolcán,True,True,Tungurahua (Ecuador)
441,2010,,Estratovolcán,True,True,Sinabung (Indonesia)
442,2016,,Caldera,True,True,Yellowstone (United States)
443,50,6.0,Escudo Piroclástico,True,True,Ambrym (Vanuatu)
444,590,,Estratovolcán,True,True,San Salvador (El Salvador)
445,1302,,Volcán Complejo,True,True,Ischia (Italy)
446,1568,3.0,Estratovolcán,True,True,Savo (Solomon Is.)
447,1570,,Estratovolcán,True,True,Mombacho (Nicaragua)
448,1663,5.0,Estratovolcán,True,True,Usu (Japan)
449,1693,,Estratovolcán,True,False,Etna (Italy)
450,1755,4.0,Volcán Subglacial,True,True,Katla (Iceland)
451,1843,2.0,Estratovolcán,True,True,Lamongan (Indonesia)
452,1872,3.0,Volcán Complejo,True,True,Vesuvius (Italy)
453,1878,2.0,Volcán En Escudo,False,False,Okmok (United States)
454,1913,3.0,Escudo Piroclástico,True,True,Ambrym (Vanuatu)
455,1949,2.0,Estratovolcán,True,True,Purace (Colombia)
456,1957,2.0,Caldera,True,True,Aso (Japan)
457,1963,3.0,Estratovolcán,True,True,Irazu (Costa Rica)
458,1971,3.0,Estratovolcán,True,True,Fuego (Guatemala)
459,1992,3.0,Cono De Ceniza,True,True,"Negro, Cerro (Nicaragua)"
460,1997,,Estratovolcán,True,True,Hakkoda Group (Japan)
461,1997,,Estratovolcán,True,True,Adatara (Japan)
462,1997,,Caldera,True,True,Aso (Japan)
463,2004,1.0,Estratovolcán,True,True,Egon (Indonesia)
464,2013,,Estratovolcán,True,True,Paluweh (Indonesia)
465,2013,,Estratovolcán,True,True,Sakura-jima (Japan)
466,2015,,Estratovolcán,True,True,Karangetang [Api Siau] (Indonesia)
467,-1460,6.0,Caldera,True,True,Taupo (New Zealand)
468,1000,7.0,Estratovolcán,True,True,Changbaishan (North Korea)
469,1727,4.0,Estratovolcán,True,True,Oraefajokull (Iceland)
470,1826,3.0,Estratovolcán,True,True,Kelut (Indonesia)
471,1868,2.0,Volcán En Escudo,False,False,Mauna Loa (United States)
472,1869,2.0,Estratovolcán,True,True,Lewotobi (Indonesia)
473,1895,2.0,Caldera,True,True,Dakataua (Papua New Guinea)
474,1900,2.0,Estratovolcán,True,True,Adatara (Japan)
475,1900,,Cono De Piedra Pómez,True,True,Tullu Moje (Ethiopia)
476,1902,2.0,Estratovolcán,True,True,Merapi (Indonesia)
477,1907,2.0,Estratovolcán,True,True,Lewotobi (Indonesia)
478,1913,2.0,Estratovolcán,False,False,Awu (Indonesia)
479,1930,3.0,Volcán Complejo,True,True,Asama (Japan)
480,1932,,Estratovolcán,True,True,Merapi (Indonesia)
481,1938,1.0,Volcán En Escudo,False,True,"Nyamuragira (Congo, DRC)"
482,1938,2.0,Estratovolcán,True,True,Mayon (Philippines)
483,1954,,Estratovolcán,True,True,Camiguin (Philippines)
484,1958,2.0,Estratovolcán,True,True,Mahawu (Indonesia)
485,1961,,Estratovolcán,True,True,Tate-yama (Japan)
486,1964,2.0,Estratovolcán,True,True,Paluweh (Indonesia)
487,1992,4.0,Estratovolcán,True,True,Spurr (United States)
488,1995,,Estratovolcán,True,True,Parker (Philippines)
489,1998,,Estratovolcán,True,True,Kelut (Indonesia)
490,2000,3.0,Estratovolcán,True,True,Arenal (Costa Rica)
491,2010,1.0,Volcán Complejo,True,True,Pacaya (Guatemala)
492,2010,,Estratovolcán,True,True,Merapi (Indonesia)
493,2011,,Estratovolcán,True,True,Lokon-Empung (Indonesia)
494,2013,,Estratovolcán,True,True,Merapi (Indonesia)
495,2016,,Estratovolcán,True,True,Rinjani (Indonesia)
496,2018,,Volcán En Escudo,True,True,Kilauea (United States)
497,-4050,6.0,Caldera,True,True,Masaya (Nicaragua)
498,-2420,5.0,Volcán Complejo,True,True,Vesuvius (Italy)
499,79,5.0,Volcán Complejo,False,False,Vesuvius (Italy)
500,1375,5.0,Cono De Toba,True,True,"Chichon, El (Mexico)"
501,1376,3.0,Estratovolcán,True,True,Kelut (Indonesia)
502,1538,3.0,Caldera,True,True,Campi Flegrei (Italy)
